ÈÈ±Ã±àºÅ,¹¤×÷×´Ì¬,½áÊøµç±íÊý(kWh),½áÊøÈÈ±íÊý(MJ),ÓÃµçÁ¿(kWh),ÖÆÈÈÁ¿(MJ),ÔËÐÐÊ±¼ä
HT100008,³ýËª×´Ì¬,11282.77,103746.32,0.24,-2.71,272
HT100008,ÖÆÈÈ×´Ì¬,11282.53,103749.03,6.07,57.48,2576
HT100008,³ýËª×´Ì¬,11276.46,103691.55,0.27,-3.19,302
HT100008,ÖÆÈÈ×´Ì¬,11276.19,103694.74,6.06,57.29,2583
HT100008,³ýËª×´Ì¬,11270.13,103637.45,0.32,-2.79,321
HT100008,ÖÆÈÈ×´Ì¬,11269.81,103640.24,5.89,55.22,2510
HT100008,³ýËª×´Ì¬,11263.92,103585.02,0.24,-3.53,297
HT100008,ÖÆÈÈ×´Ì¬,11263.68,103588.55,5.93,56.22,2529
HT100008,³ýËª×´Ì¬,11257.75,103532.33,0.26,-3.8,296
HT100008,ÖÆÈÈ×´Ì¬,11257.49,103536.13,5.93,56.07,2530
HT100008,³ýËª×´Ì¬,11251.56,103480.06,0.28,-2.59,306
HT100008,ÖÆÈÈ×´Ì¬,11251.28,103482.65,5.94,54.85,2510
HT100008,³ýËª×´Ì¬,11245.34,103427.8,0.28,-2.37,302
HT100008,ÖÆÈÈ×´Ì¬,11245.06,103430.17,5.96,55.17,2510
HT100008,³ýËª×´Ì¬,11239.1,103375,0.28,-3.27,305
HT100008,ÖÆÈÈ×´Ì¬,11238.82,103378.27,5.92,55.63,2510
HT100008,³ýËª×´Ì¬,11232.9,103322.64,0.24,-3.14,272
HT100008,ÖÆÈÈ×´Ì¬,11232.66,103325.78,5.95,56.26,2543
HT100008,³ýËª×´Ì¬,11226.71,103269.52,0.23,-2.94,285
HT100008,ÖÆÈÈ×´Ì¬,11226.48,103272.46,5.95,56.06,2510
HT100008,³ýËª×´Ì¬,11220.53,103216.4,0.32,-3.19,309
HT100008,ÖÆÈÈ×´Ì¬,11220.21,103219.59,5.93,55.94,2510
HT100008,³ýËª×´Ì¬,11214.28,103163.65,0.28,-3.44,304
HT100008,ÖÆÈÈ×´Ì¬,11214,103167.09,5.98,56.6,2526
HT100008,³ýËª×´Ì¬,11208.02,103110.49,0.32,-3.36,307
HT100008,ÖÆÈÈ×´Ì¬,11207.7,103113.85,6.04,56.64,2530
HT100008,³ýËª×´Ì¬,11201.66,103057.21,0.34,-3.18,312
